"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Tot Deaths/
1M pop",Closed Case,"Death Rate
(%)"
USA,"104,126","+18,691","1,696",+401,"2,522","99,908","2,463",315,5,4218,40.21
Italy,"86,498","+5,909","9,134",+919,"10,950","66,414","3,732","1,431",151,20084,45.48
China,"81,340",+55,"3,292",+5,"74,588","3,460","1,034",57,2,77880,4.23
Spain,"65,719","+7,933","5,138",+773,"9,357","51,224","4,165","1,406",110,14495,35.45
Germany,"50,871","+6,933",351,+84,"6,658","43,862","1,581",607,4,7009,5.01
France,"32,964","+3,809","1,995",+299,"5,700","25,269","3,787",505,31,7695,25.93
Iran,"32,332","+2,926","2,378",+144,"11,133","18,821","2,893",385,28,13511,17.6
UK,"14,543","+2,885",759,+181,135,"13,649",163,214,11,894,84.9
Switzerland,"12,928","+1,117",231,+39,"1,530","11,167",203,"1,494",27,1761,13.12
S. Korea,"9,332",+91,139,+8,"4,528","4,665",59,182,3,4667,2.98
Netherlands,"8,603","+1,172",546,+112,3,"8,054",761,502,32,549,99.45
Austria,"7,697",+788,58,+9,225,"7,414",128,855,6,283,20.49
Belgium,"7,284","+1,049",289,+69,858,"6,137",690,628,25,1147,25.2
Turkey,"5,698","+2,069",92,+17,42,"5,564",241,68,1,134,68.66
Canada,"4,757",+714,55,+16,354,"4,348",120,126,1,409,13.45
Portugal,"4,268",+724,76,+16,43,"4,149",71,419,7,119,63.87
Norway,"3,771",+399,19,+5,7,"3,745",70,696,4,26,73.08
Brazil,"3,417",+432,92,+15,6,"3,319",296,16,0.4,98,93.88
Australia,"3,378",+328,13,,170,"3,195",23,132,0.5,183,7.1
Sweden,"3,069",+229,105,+28,16,"2,948",214,304,10,121,86.78
Israel,"3,035",+342,12,+4,79,"2,944",49,351,1,91,13.19
Czechia,"2,279",+354,9,,11,"2,259",34,213,0.8,20,45.0
Malaysia,"2,161",+130,26,+3,259,"1,876",54,67,0.8,285,9.12
Ireland,"2,121",+302,22,+3,5,"2,094",59,430,4,27,81.48
Denmark,"2,046",+169,52,+11,1,"1,993",109,353,9,53,98.11
Ecuador,"1,627",+224,41,+7,3,"1,583",58,92,2,44,93.18
Chile,"1,610",+304,5,+1,43,"1,562",7,84,0.3,48,10.42
Luxembourg,"1,605",+152,15,+6,40,"1,550",25,"2,564",24,55,27.27
Japan,"1,499",+112,49,+2,372,"1,078",56,12,0.4,421,11.64
Poland,"1,389",+168,16,,7,"1,366",3,37,0.4,23,69.57
Pakistan,"1,373",+172,11,+2,23,"1,339",7,6,0.05,34,32.35
Romania,"1,292",+263,26,+3,115,"1,151",32,67,1,141,18.44
South Africa,"1,170",+243,1,+1,31,"1,138",7,20,0.02,32,3.12
Thailand,"1,136",+91,5,+1,97,"1,034",11,16,0.07,102,4.9
Saudi Arabia,"1,104",+92,3,,35,"1,066",6,32,0.09,38,7.89
Indonesia,"1,046",+153,87,+9,46,913,,4,0.3,133,65.41
Finland,"1,041",+83,7,+2,10,"1,024",32,188,1,17,41.18
Russia,"1,036",+196,4,+1,45,987,8,7,0.03,49,8.16
Greece,966,+74,28,+1,52,886,66,93,3,80,35.0
Iceland,890,+88,2,,97,791,18,"2,608",6,99,2.02
India,887,+160,20,,73,794,,0.6,0.01,93,21.51
Philippines,803,+96,54,+9,31,718,1,7,0.5,85,63.53
Panama,786,+112,14,+5,2,770,20,182,3,16,87.5
Singapore,732,+49,2,,183,547,17,125,0.3,185,1.08
Diamond Princess,712,,10,,597,105,15,,,607,1.65
Peru,635,+55,11,+2,16,608,21,19,0.3,27,40.74
Slovenia,632,+70,9,+3,10,613,14,304,4,19,47.37
Argentina,589,,13,+1,72,504,,13,0.3,85,15.29
Croatia,586,+91,3,,37,546,14,143,0.7,40,7.5
Mexico,585,+110,8,+2,4,573,1,5,0.06,12,66.67
Dominican Republic,581,+93,20,+10,3,558,,54,2,23,86.96
Estonia,575,+37,1,,11,563,7,433,0.8,12,8.33
Qatar,562,+13,,,43,519,6,195,,43,
Colombia,539,+48,6,,10,523,,11,0.1,16,37.5
Egypt,536,+41,30,+6,116,390,,5,0.3,146,20.55
Serbia,528,+71,8,+1,42,478,25,60,0.9,50,16.0
Hong Kong,519,+65,4,,111,404,5,69,0.5,115,3.48
Bahrain,466,+8,4,,227,235,1,274,2,231,1.73
Iraq,458,+76,40,+4,122,296,,11,1.0,162,24.69
Algeria,409,+42,26,+1,29,354,,9,0.6,55,47.27
UAE,405,+72,2,,52,351,2,41,0.2,54,3.7
Lebanon,391,+23,8,+2,27,356,3,57,1,35,22.86
New Zealand,368,,,,37,331,1,76,,37,
Lithuania,358,+59,5,+1,1,352,2,132,2,6,83.33
Morocco,345,+70,23,+12,11,311,1,9,0.6,34,67.65
Armenia,329,+39,1,,28,300,6,111,0.3,29,3.45
Ukraine,310,+114,5,,5,300,,7,0.1,10,50.0
Hungary,300,+39,10,,34,256,6,31,1,44,22.73
Bulgaria,293,+29,3,,9,281,8,42,0.4,12,25.0
Latvia,280,+36,,,1,279,,148,,1,
Slovakia,269,+43,,,2,267,1,49,,2,
Andorra,267,+43,3,,1,263,11,"3,456",39,4,75.0
Taiwan,267,+15,2,,30,235,,11,0.08,32,6.25
Costa Rica,263,+32,2,,3,258,5,52,0.4,5,40.0
Uruguay,238,,,,,238,3,69,,0,
Bosnia and Herzegovina,237,+46,4,+1,5,228,1,72,1,9,44.44
Jordan,235,+23,1,+1,18,216,,23,0.10,19,5.26
Tunisia,227,+30,7,+2,2,218,10,19,0.6,9,77.78
Kuwait,225,+17,,,57,168,11,53,,57,
San Marino,223,+15,21,,6,196,15,"6,572",619,27,77.78
North Macedonia,219,+18,3,,3,213,1,105,1,6,50.0
Moldova,199,+22,2,+1,2,195,33,49,0.5,4,50.0
Albania,186,+12,8,+2,31,147,3,65,3,39,20.51
Burkina Faso,180,+28,9,+2,12,159,,9,0.4,21,42.86
Azerbaijan,165,+43,3,,15,147,6,16,0.3,18,16.67
Vietnam,163,+10,,,20,143,3,2,,20,
Cyprus,162,+16,5,+2,15,142,3,134,4,20,25.0
Kazakhstan,150,+37,1,,3,146,,8,0.05,4,25.0
Réunion,145,+10,,,1,144,,162,,1,
Faeroe Islands,144,+4,,,54,90,2,"2,947",,54,
Malta,139,+5,,,2,137,1,315,,2,
Ghana,137,+5,4,,2,131,1,4,0.1,6,66.67
Oman,131,+22,,,23,108,,26,,23,
Senegal,119,+14,,,11,108,,7,,11,
Brunei,115,+1,,,11,104,1,263,,11,
Venezuela,113,+6,2,+1,31,80,2,4,0.07,33,6.06
Afghanistan,110,+16,4,,2,104,,3,0.1,6,66.67
Sri Lanka,106,,,,7,99,5,5,,7,
Ivory Coast,101,+5,,,3,98,,4,,3,
Cambodia,99,+1,,,11,88,1,6,,11,
Mauritius,94,+13,2,,,92,1,74,2,2,100.0
Belarus,94,+8,,,32,62,2,10,,32,
Martinique,93,+12,1,,,92,12,248,3,1,100.0
Cameroon,91,+16,2,+1,2,87,,3,0.08,4,50.0
Palestine,91,+5,1,,17,73,,18,0.2,18,5.56
Channel Islands,88,+22,1,,,87,,506,6,1,100.0
Uzbekistan,88,+13,1,+1,5,82,8,3,0.03,6,16.67
Georgia,83,+4,,,14,69,1,21,,14,
Montenegro,82,+13,1,,,81,1,131,2,1,100.0
Cuba,80,+13,2,,4,74,2,7,0.2,6,33.33
Guadeloupe,73,,1,,,72,4,182,2,1,100.0
Nigeria,70,+5,1,,3,66,,0.3,0.00,4,25.0
Honduras,68,+1,1,,,67,4,7,0.1,1,100.0
Trinidad and Tobago,66,+1,2,+1,1,63,,47,1,3,66.67
Bolivia,61,,,,,61,,5,,0,
Kyrgyzstan,58,+14,,,,58,,9,,0,
Liechtenstein,56,,,,,56,,"1,469",,0,
Gibraltar,55,+20,,,14,41,,"1,632",,14,
Rwanda,54,+4,,,,54,,4,,0,
Paraguay,52,+11,3,,1,48,1,7,0.4,4,75.0
DRC,51,,3,,2,46,,0.6,0.03,5,60.0
Mayotte,50,+14,,,,50,,183,,0,
Bangladesh,48,+4,5,,11,32,1,0.3,0.03,16,31.25
Monaco,42,+9,,,1,41,,"1,070",,1,
Macao,34,+1,,,10,24,,52,,10,
Aruba,33,+5,,,1,32,,309,,1,
Kenya,31,,1,,1,29,2,0.6,0.02,2,50.0
French Polynesia,30,,,,,30,,107,,0,
Isle of Man,29,+3,,,,29,,341,,0,
Guatemala,28,+3,1,,4,23,1,2,0.06,5,20.0
French Guiana,28,,,,6,22,,94,,6,
Jamaica,26,,1,,2,23,,9,0.3,3,33.33
Barbados,26,+2,,,,26,,90,,0,
Madagascar,26,+3,,,,26,,0.9,,0,
Togo,25,+1,1,+1,1,23,,3,0.1,2,50.0
Uganda,23,+9,,,,23,,0.5,,0,
Zambia,22,+6,,,,22,,1,,0,
Bermuda,17,+2,,,2,15,,273,,2,
Ethiopia,16,+4,,,,16,,0.1,,0,
Maldives,16,+3,,,9,7,,30,,9,
New Caledonia,15,+1,,,,15,,53,,0,
El Salvador,13,,,,,13,,2,,0,
Tanzania,13,,,,1,12,,0.2,,1,
Djibouti,12,+1,,,,12,,12,,0,
Equatorial Guinea,12,,,,,12,,9,,0,
Dominica,11,,,,,11,,153,,0,
Mali,11,+7,,,,11,,0.5,,0,
Mongolia,11,,,,,11,,3,,0,
Saint Martin,11,,,,,11,,284,,0,
Niger,10,,1,,,9,,0.4,0.04,1,100.0
Bahamas,10,+1,,,1,9,,25,,1,
Greenland,10,+4,,,2,8,,176,,2,
Eswatini,9,+3,,,,9,,8,,0,
Cayman Islands,8,,1,,,7,,122,15,1,100.0
Curaçao,8,+1,1,,2,5,,49,6,3,33.33
Guinea,8,+4,,,,8,,0.6,,0,
Haiti,8,,,,,8,,0.7,,0,
Myanmar,8,+3,,,,8,,0.1,,0,
Namibia,8,,,,2,6,,3,,2,
Suriname,8,,,,,8,,14,,0,
Gabon,7,,1,,,6,,3,0.4,1,100.0
Antigua and Barbuda,7,,,,,7,,71,,0,
Grenada,7,,,,,7,,62,,0,
Mozambique,7,,,,,7,,0.2,,0,
Seychelles,7,,,,,7,,71,,0,
Benin,6,,,,,6,,0.5,,0,
Eritrea,6,,,,,6,,2,,0,
Laos,6,,,,,6,,0.8,,0,
Cabo Verde,5,,1,,,4,,9,2,1,100.0
Guyana,5,,1,,,4,,6,1,1,100.0
Zimbabwe,5,+2,1,,,4,,0.3,0.07,1,100.0
Fiji,5,,,,,5,,6,,0,
Montserrat,5,,,,,5,,"1,002",,0,
St. Barth,5,+2,,,,5,,506,,0,
Syria,5,,,,,5,,0.3,,0,
Nicaragua,4,+2,1,+1,,3,,0.6,0.2,1,100.0
Nepal,4,+1,,,1,3,,0.1,,1,
