"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",,Closed Case,"Death Rate
(%)"
World,"1,923,848","+71,591","119,618","+5,423","444,636","1,359,594","51,747",247,15.3,,,,564254.0,21.2
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
USA,"586,941","+26,641","23,640","+1,535","36,948","526,353","12,772","1,773",71,"2,943,955","8,894",,60588.0,39.02
,,,,,,,,,,,,,,
Spain,"170,099","+3,268","17,756",+547,"64,727","87,616","7,371","3,638",380,"600,000","12,833",,82483.0,21.53
Italy,"159,516","+3,153","20,465",+566,"35,435","103,616","3,260","2,638",338,"1,046,910","17,315",,55900.0,36.61
France,"136,779","+4,188","14,967",+574,"27,718","94,094","6,821","2,095",229,"333,807","5,114",,42685.0,35.06
Germany,"130,072","+2,218","3,194",+172,"64,300","62,578","4,895","1,552",38,"1,317,887","15,730",,67494.0,4.73
UK,"88,621","+4,342","11,329",+717,N/A,"76,948","1,559","1,305",167,"367,667","5,416",,11673.0,97.05
China,"82,160",+108,"3,341",+2,"77,663","1,156",121,57,2,,,,81004.0,4.12
Iran,"73,303","+1,617","4,585",+111,"45,983","22,735","3,877",873,55,"275,427","3,279",,50568.0,9.07
Turkey,"61,049","+4,093","1,296",+98,"3,957","55,796","1,786",724,15,"410,556","4,868",,5253.0,24.67
,,,,,,,,,,,,,,
Belgium,"30,589",+942,"3,903",+303,"6,707","19,979","1,234","2,639",337,"102,151","8,814",,10610.0,36.79
Netherlands,"26,551",+964,"2,823",+86,250,"23,478","1,358","1,550",165,"115,992","6,769",,3073.0,91.86
Switzerland,"25,688",+273,"1,138",+32,"13,700","10,850",386,"2,968",131,"193,800","22,393",,14838.0,7.67
Canada,"25,680","+1,297",780,+63,"7,756","17,144",557,680,21,"437,475","11,591",,8536.0,9.14
Brazil,"23,430","+1,238","1,328",+105,173,"21,929",296,110,6,"62,985",296,,1501.0,88.47
Russia,"18,328","+2,558",148,+18,"1,470","16,710",8,126,1,"1,300,000","8,908",,1618.0,9.15
Portugal,"16,934",+349,535,+31,277,"16,122",188,"1,661",52,"182,707","17,918",,812.0,65.89
,,,,,,,,,,,,,,
