"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",,Closed Case,"Death Rate
(%)"
World,"2,248,863","+86,496","154,145","+8,672","571,573","1,523,145","56,963",289,19.8,,,,725718.0,21.24
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
USA,"709,735","+32,165","37,154","+2,535","60,510","612,071","13,509","2,144",112,"3,572,257","10,792",,97664.0,38.04
,,,,,,,,,,,,,,
Spain,"190,839","+5,891","20,002",+687,"74,797","96,040","7,371","4,082",428,"930,230","19,896",,94799.0,21.1
Italy,"172,434","+3,493","22,745",+575,"42,727","106,962","2,812","2,852",376,"1,244,108","20,577",,65472.0,34.74
France,"147,969","+1,909","18,681",+761,"34,420","94,868","6,027","2,267",286,"463,662","7,103",,53101.0,35.18
Germany,"141,397","+3,699","4,352",+300,"83,114","53,931","5,013","1,688",52,"1,728,357","20,629",,87466.0,4.98
UK,"108,692","+5,599","14,576",+847,N/A,"93,772","1,559","1,601",215,"438,991","6,467",,14920.0,97.69
China,"82,692",+325,"4,632","+1,290","77,994",66,85,57,3,,,,82626.0,5.61
Iran,"79,494","+1,499","4,958",+89,"54,064","20,472","3,563",946,59,"319,879","3,808",,59022.0,8.4
Turkey,"78,546","+4,353","1,769",+126,"8,631","68,146","1,845",931,21,"558,413","6,621",,10400.0,17.01
,,,,,,,,,,,,,,
Belgium,"36,138","+1,329","5,163",+306,"7,961","23,014","1,140","3,118",445,"139,387","12,027",,13124.0,39.34
Brazil,"33,682","+2,999","2,141",+194,"14,026","17,515","6,634",158,10,"62,985",296,,16167.0,13.24
Russia,"32,008","+4,070",273,+41,"2,590","29,145",8,219,2,"1,718,019","11,773",,2863.0,9.54
Canada,"31,927","+1,821","1,310",+115,"10,543","20,074",557,846,35,"507,701","13,452",,11853.0,11.05
Netherlands,"30,449","+1,235","3,459",+144,250,"26,740","1,279","1,777",202,"154,911","9,041",,3709.0,93.26
Switzerland,"27,078",+346,"1,327",+46,"16,400","9,351",386,"3,129",153,"206,400","23,849",,17727.0,7.49
,,,,,,,,,,,,,,
Portugal,"19,022",+181,657,+28,519,"17,846",222,"1,866",64,"221,049","21,678",,1176.0,55.87
Austria,"14,595",+119,431,+21,"9,704","4,460",227,"1,621",48,"169,272","18,795",,10135.0,4.25
India,"14,352",+922,486,+38,"2,041","11,825",,10,0.4,"335,123",243,,2527.0,19.23
Ireland,"13,980",+709,530,+44,77,"13,373",156,"2,831",107,"90,646","18,358",,607.0,87.31
Peru,"13,489",+998,300,+26,"6,541","6,648",137,409,9,"127,513","3,867",,6841.0,4.39
Sweden,"13,216",+676,"1,400",+67,550,"11,266",482,"1,309",139,"74,600","7,387",,1950.0,71.79
Israel,"12,982",+224,151,+9,"3,126","9,705",168,"1,500",17,"187,250","21,634",,3277.0,4.61
S. Korea,"10,635",+22,230,+1,"7,829","2,576",55,207,4,"546,463","10,659",,8059.0,2.85
Japan,"9,787",+556,190,,935,"8,662",193,77,2,"100,703",796,,1125.0,16.89
Chile,"9,252",+445,116,+11,"3,621","5,515",384,484,6,"103,873","5,434",,3737.0,3.1
Ecuador,"8,450",+225,421,+18,838,"7,191",168,479,24,"27,868","1,580",,1259.0,33.44
Poland,"8,379",+461,332,+18,866,"7,181",160,221,9,"179,654","4,747",,1198.0,27.71
Romania,"8,067",+360,411,+19,"1,508","6,148",258,419,21,"85,805","4,460",,1919.0,21.42
,,,,,,,,,,,,,,
Saudi Arabia,"7,142",+762,87,+4,"1,049","6,006",74,205,2,"150,000","4,309",,1136.0,7.66
Denmark,"7,073",+194,336,+15,"3,389","3,348",93,"1,221",58,"87,024","15,024",,3725.0,9.02
Pakistan,"7,025",+106,135,+7,"1,765","5,125",46,32,0.6,"84,704",383,,1900.0,7.11
Norway,"6,937",+32,161,+9,32,"6,744",63,"1,280",30,"136,236","25,130",,193.0,83.42
Czechia,"6,549",+116,173,+4,"1,174","5,202",82,612,16,"154,307","14,409",,1347.0,12.84
Australia,"6,533",+65,65,+2,"3,821","2,647",60,256,3,"391,530","15,354",,3886.0,1.67
UAE,"6,302",+477,37,+2,"1,188","5,077",1,637,4,"767,000","77,550",,1225.0,3.02
Mexico,"6,297",+450,486,+37,"2,125","3,686",207,49,4,"40,091",311,,2611.0,18.61
Indonesia,"5,923",+407,520,+24,607,"4,796",,22,2,"37,134",136,,1127.0,46.14
Philippines,"5,878",+218,387,+25,487,"5,004",1,54,4,"48,171",440,,874.0,44.28
