"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Closed Case,"Death Rate
(%)"
World,"1,517,960","+84,384","88,455","+6,414","330,266","1,099,239","48,092",195,11.3,,,418721,21.13
USA,"434,927","+31,935","14,788","+1,940","22,891","397,248","9,279","1,314",45,"2,209,041","6,674",37679,39.25
Spain,"148,220","+6,278","14,792",+747,"48,021","85,407","7,069","3,170",316,"355,000","7,593",62813,23.55
Italy,"139,422","+3,836","17,669",+542,"26,491","95,262","3,693","2,306",292,"807,125","13,349",44160,40.01
Germany,"113,296","+5,633","2,349",+333,"46,300","64,647","4,895","1,352",28,"1,317,887","15,730",48649,4.83
France,"112,950","+3,881","10,869",+541,"21,254","80,827","7,148","1,730",167,"224,254","3,436",32123,33.84
China,"81,802",+62,"3,333",+2,"77,279","1,190",189,57,2,,,80612,4.13
Iran,"64,586","+1,997","3,993",+121,"29,812","30,781","3,987",769,48,"211,136","2,514",33805,11.81
UK,"60,733","+5,491","7,097",+938,135,"53,501","1,559",895,105,"282,074","4,155",7232,98.13
Turkey,"38,226","+4,117",812,+87,"1,846","35,568","1,492",453,10,"247,768","2,938",2658,30.55
Belgium,"23,403","+1,209","2,240",+205,"4,681","16,482","1,276","2,019",193,"84,248","7,269",6921,32.37
Switzerland,"23,280","+1,027",895,+74,"9,800","12,585",391,"2,690",103,"171,938","19,867",10695,8.37
Netherlands,"20,549",+969,"2,248",+147,250,"18,051","1,424","1,199",131,"101,534","5,926",2498,89.99
Canada,"19,438","+1,541",427,+46,"4,548","14,463",426,515,11,"361,969","9,591",4975,8.58
Brazil,"16,188","+2,154",820,+134,127,"15,241",296,76,4,"54,824",258,947,86.59
Portugal,"13,141",+699,380,+35,196,"12,565",245,"1,289",37,"128,784","12,630",576,65.97
Austria,"12,942",+303,273,+30,"4,512","8,157",267,"1,437",30,"120,755","13,408",4785,5.71
S. Korea,"10,384",+53,200,+8,"6,776","3,408",55,203,4,"477,304","9,310",6976,2.87
Israel,"9,404",+156,73,+8,801,"8,530",147,"1,086",8,"117,339","13,557",874,8.35
Russia,"8,672","+1,175",63,+5,580,"8,029",8,59,0.4,"910,221","6,237",643,9.8
Sweden,"8,419",+726,687,+96,205,"7,527",678,834,68,"54,700","5,416",892,77.02
Ireland,"6,074",+365,235,+25,25,"5,814",165,"1,230",48,"42,484","8,604",260,90.38
Australia,"6,052",+64,50,+1,"2,813","3,189",87,237,2,"319,784","12,541",2863,1.75
Norway,"6,042",,101,+12,32,"5,909",78,"1,115",19,"113,896","21,009",133,75.94
India,"5,916",+565,178,+18,506,"5,232",,4,0.1,"167,235",121,684,26.02
Chile,"5,546",+430,48,+5,"1,115","4,383",362,290,3,"60,391","3,159",1163,4.13
Denmark,"5,402",+331,218,+15,"1,621","3,563",127,933,38,"64,002","11,050",1839,11.85
Czechia,"5,312",+295,99,+11,233,"4,980",103,496,9,"98,681","9,215",332,29.82
