"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",,Closed Case,"Death Rate
(%)"
World,"2,635,716","+79,956","184,066","+6,607","717,444","1,734,206","56,686",338,23.6,,,,901510.0,20.42
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
USA,"848,717","+29,973","47,659","+2,341","84,050","717,008","14,016","2,564",144,"4,325,342","13,067",,131709.0,36.19
,,,,,,,,,,,,,,
Spain,"208,389","+4,211","21,717",+435,"85,915","100,757","7,705","4,457",464,"930,230","19,896",,107632.0,20.18
Italy,"187,327","+3,370","25,085",+437,"54,543","107,699","2,384","3,098",415,"1,513,251","25,028",,79628.0,31.5
France,"159,877","+1,827","21,340",+544,"40,657","97,880","5,218","2,449",327,"463,662","7,103",,61997.0,34.42
Germany,"150,648","+2,195","5,315",+229,"99,400","45,933","2,908","1,798",63,"2,072,669","24,738",,104715.0,5.08
UK,"133,495","+4,451","18,100",+763,N/A,"115,051","1,559","1,966",267,"559,935","8,248",,18444.0,98.13
Turkey,"98,674","+3,083","2,376",+117,"16,477","79,821","1,814","1,170",28,"750,944","8,904",,18853.0,12.6
,,,,,,,,,,,,,,
Iran,"85,996","+1,194","5,391",+94,"63,113","17,492","3,311","1,024",64,"377,396","4,493",,68504.0,7.87
China,"82,788",+30,"4,632",,"77,151","1,005",78,58,3,,,,81783.0,5.66
Russia,"57,999","+5,236",513,+57,"4,420","53,066",700,397,4,"2,250,000","15,418",,4933.0,10.4
Brazil,"45,757","+2,678","2,906",+165,"25,318","17,533","8,318",215,14,"291,922","1,373",,28224.0,10.3
Belgium,"41,889",+933,"6,262",+264,"9,433","26,194","1,020","3,614",540,"171,400","14,789",,15695.0,39.9
Canada,"40,190","+1,768","1,974",+140,"13,986","24,230",557,"1,065",52,"612,192","16,220",,15960.0,12.37
Netherlands,"34,842",+708,"4,054",+138,N/A,"30,538","1,050","2,033",237,"171,415","10,004",,4304.0,94.19
Switzerland,"28,268",+205,"1,509",+31,"19,900","6,859",386,"3,266",174,"227,554","26,293",,21409.0,7.05
,,,,,,,,,,,,,,
Portugal,"21,982",+603,785,+23,"1,143","20,054",207,"2,156",77,"284,741","27,925",,1928.0,40.72
India,"21,370","+1,290",681,+36,"4,370","16,319",,15,0.5,"462,621",335,,5051.0,13.48
Peru,"19,250","+1,413",530,+46,"7,027","11,693",396,584,16,"170,400","5,168",,7557.0,7.01
Ireland,"16,671",+631,769,+39,"9,233","6,669",147,"3,376",156,"111,584","22,598",,10002.0,7.69
Sweden,"16,004",+682,"1,937",+172,550,"13,517",515,"1,585",192,"94,500","9,357",,2487.0,77.89
Austria,"14,925",+52,510,+19,"11,328","3,087",176,"1,657",57,"201,794","22,406",,11838.0,4.31
Israel,"14,498",+556,189,+5,"5,215","9,094",141,"1,675",22,"240,303","27,763",,5404.0,3.5
Saudi Arabia,"12,772","+1,141",114,+5,"1,812","10,846",82,367,3,"200,000","5,745",,1926.0,5.92
Japan,"11,950",+438,299,+18,"1,424","10,227",241,94,2,"130,587","1,033",,1723.0,17.35
Chile,"11,296",+464,160,+13,"5,386","5,750",399,591,8,"128,722","6,734",,5546.0,2.88
Ecuador,"10,850",+452,537,+17,"1,262","9,051",141,615,30,"33,389","1,892",,1799.0,29.85
S. Korea,"10,694",+11,238,+1,"8,277","2,179",55,209,5,"577,959","11,273",,8515.0,2.8
Poland,"10,169",+313,426,+25,"1,513","8,230",160,269,11,"238,799","6,310",,1939.0,21.97
Singapore,"10,141","+1,016",12,+1,896,"9,233",27,"1,733",2,"94,796","16,203",,908.0,1.32
Pakistan,"10,076",+511,212,+11,"2,156","7,708",58,46,1.0,"118,020",534,,2368.0,8.95
Romania,"9,710",+468,524,+26,"2,406","6,780",288,505,27,"106,357","5,529",,2930.0,17.88
Mexico,"9,501",+729,857,+145,"2,627","6,017",378,74,7,"49,570",384,,3484.0,24.6
UAE,"8,238",+483,52,+6,"1,546","6,640",1,833,5,"790,000","79,875",,1598.0,3.25
,,,,,,,,,,,,,,
Denmark,"7,912",+217,384,+14,"5,087","2,441",80,"1,366",66,"108,465","18,726",,5471.0,7.02
Indonesia,"7,418",+283,635,+19,913,"5,870",,27,2,"55,732",204,,1548.0,41.02
Norway,"7,338",+97,187,+5,32,"7,119",54,"1,354",34,"148,656","27,421",,219.0,85.39
Belarus,"7,281",+558,58,+3,769,"6,454",92,771,6,"114,955","12,165",,827.0,7.01
Qatar,"7,141",+608,10,+1,689,"6,442",37,"2,479",3,"70,012","24,301",,699.0,1.43
Czechia,"7,132",+99,208,+7,"1,989","4,935",80,666,19,"186,918","17,454",,2197.0,9.47
Serbia,"7,114",+224,134,+4,"1,025","5,955",101,814,15,"48,636","5,566",,1159.0,11.56
Philippines,"6,710",+111,446,+9,693,"5,571",1,61,4,"68,532",625,,1139.0,39.16
Australia,"6,649",+4,74,+3,"4,920","1,655",47,261,3,"452,441","17,743",,4994.0,1.48
Ukraine,"6,592",+467,174,+13,424,"5,994",45,151,4,"67,520","1,544",,598.0,29.1
Malaysia,"5,532",+50,93,+1,"3,452","1,987",43,171,3,"113,755","3,515",,3545.0,2.62
Dominican Republic,"5,300",+256,260,+15,581,"4,459",135,489,24,"18,261","1,683",,841.0,30.92
Panama,"4,821",+163,141,+5,231,"4,449",94,"1,117",33,"21,902","5,076",,372.0,37.9
Colombia,"4,356",+207,206,+10,870,"3,280",98,86,4,"71,500","1,405",,1076.0,19.14
Finland,"4,129",+115,149,+8,"2,000","1,980",63,745,27,"68,552","12,372",,2149.0,6.93
Bangladesh,"3,772",+390,120,+10,92,"3,560",1,23,0.7,"32,630",198,,212.0,56.6
Egypt,"3,659",+169,276,+12,935,"2,448",,36,3,"55,000",537,,1211.0,22.79
Luxembourg,"3,654",+36,80,+2,711,"2,863",32,"5,837",128,"36,087","57,649",,791.0,10.11
South Africa,"3,635",+170,65,+7,"1,055","2,515",36,61,1,"133,774","2,256",,1120.0,5.8
Morocco,"3,446",+237,149,+4,417,"2,880",1,93,4,"19,885",539,,566.0,26.33
Argentina,"3,288",+144,159,+8,872,"2,257",123,73,4,"39,228",868,,1031.0,15.42
Algeria,"2,910",+99,402,+10,"1,204","1,304",40,66,9,"6,500",148,,1606.0,25.03
Thailand,"2,826",+15,49,+1,"2,352",425,61,40,0.7,"142,589","2,043",,2401.0,2.04
Moldova,"2,778",+164,75,+3,560,"2,143",212,689,19,"11,763","2,916",,635.0,11.81
Greece,"2,408",+7,121,,577,"1,710",55,231,12,"56,944","5,463",,698.0,17.34
Kuwait,"2,248",+168,13,+2,443,"1,792",50,526,3,,,,456.0,2.85
Hungary,"2,168",+70,225,+12,295,"1,648",82,224,23,"52,702","5,455",,520.0,43.27
Kazakhstan,"2,135",+140,19,,515,"1,601",32,114,1,"139,207","7,414",,534.0,3.56
Bahrain,"2,027",+54,7,,"1,026",994,2,"1,191",4,"97,796","57,474",,1033.0,0.68
Croatia,"1,950",+42,48,,869,"1,033",19,475,12,"27,614","6,726",,917.0,5.23
Iceland,"1,785",+7,10,,"1,462",313,5,"5,231",29,"44,468","130,312",,1472.0,0.68
Uzbekistan,"1,716",+38,7,+1,450,"1,259",8,51,0.2,"150,000","4,482",,457.0,1.53
Iraq,"1,631",+29,83,,"1,146",402,,41,2,"62,880","1,563",,1229.0,6.75
Oman,"1,614",+106,8,,238,"1,368",3,316,2,,,,246.0,3.25
Estonia,"1,559",+7,44,+1,184,"1,331",7,"1,175",33,"43,637","32,895",,228.0,19.3
Azerbaijan,"1,518",+38,20,,907,591,14,150,2,"108,221","10,674",,927.0,2.16
Armenia,"1,473",+72,24,,633,816,30,497,8,"14,966","5,051",,657.0,3.65
New Zealand,"1,448",+3,14,+1,"1,036",398,2,300,3,"94,797","19,658",,1050.0,1.33
Lithuania,"1,370",+20,38,,357,975,17,503,14,"76,973","28,275",,395.0,9.62
Bosnia and Herzegovina,"1,368",+26,53,+2,460,855,4,417,16,"20,125","6,134",,513.0,10.33
Slovenia,"1,353",+9,79,+2,205,"1,069",24,651,38,"44,435","21,374",,284.0,27.82
North Macedonia,"1,259",+28,56,+1,272,931,8,604,27,"13,000","6,240",,328.0,17.07
Slovakia,"1,244",+45,14,,284,946,7,228,3,"52,649","9,643",,298.0,4.7
Cuba,"1,189",+52,40,+2,341,808,16,105,4,"30,416","2,685",,381.0,10.5
Afghanistan,"1,176",+84,40,+4,166,970,7,30,1,"6,422",165,,206.0,19.42
Cameroon,"1,163",,43,,397,723,33,44,2,,,,440.0,9.77
Ghana,"1,154",+112,9,,99,"1,046",4,37,0.3,"68,591","2,207",,108.0,8.33
Hong Kong,"1,034",+4,4,,678,352,8,138,0.5,"131,786","17,579",,682.0,0.59
Bulgaria,"1,024",+49,49,+4,174,801,37,147,7,"27,000","3,886",,223.0,21.97
Djibouti,974,+29,2,,183,789,,986,2,"10,272","10,397",,185.0,1.08
Ivory Coast,952,+36,14,+1,310,628,,36,0.5,,,,324.0,4.32
Tunisia,909,+8,38,,190,681,32,77,3,"18,861","1,596",,228.0,16.67
Nigeria,873,+91,28,+3,197,648,2,4,0.1,"8,003",39,,225.0,12.44
Cyprus,790,+6,13,+1,98,679,15,654,11,"37,081","30,712",,111.0,11.71
Latvia,761,+13,11,+2,133,617,5,403,6,"39,336","20,855",,144.0,7.64
Guinea,761,+73,6,,164,591,,58,0.5,,,,170.0,3.53
Andorra,723,+6,37,,309,377,17,"9,357",479,"1,673","21,653",,346.0,10.69
,,,,,,,,,,,,,,
Diamond Princess,712,,13,,645,54,4,,,,,,658.0,1.98
Lebanon,682,+5,22,+1,113,547,26,100,3,"22,853","3,348",,135.0,16.3
Costa Rica,681,+12,6,,180,495,6,134,1,"11,766","2,310",,186.0,3.23
Niger,662,+5,22,+2,193,447,,27,0.9,"4,832",200,,215.0,10.23
Albania,634,+25,27,+1,356,251,4,220,9,"6,269","2,178",,383.0,7.05
Kyrgyzstan,612,+22,7,,254,351,5,94,1,"26,147","4,008",,261.0,2.68
Burkina Faso,609,+9,39,+1,389,181,,29,2,,,,428.0,9.11
Bolivia,609,+11,37,+3,44,528,3,52,3,"4,420",379,,81.0,45.68
Uruguay,549,+6,12,,337,200,10,158,3,"14,532","4,183",,349.0,3.44
