"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",,Closed Case,"Death Rate
(%)"
World,"1,603,652","+85,589","95,692","+7,234","356,352","1,151,608","49,158",206,12.3,,,,452044.0,21.17
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
USA,"468,566","+33,536","16,691","+1,900","25,928","425,947","10,011","1,416",50,"2,353,096","7,109",,42619.0,39.16
,,,,,,,,,,,,,,
Spain,"153,222","+5,002","15,447",+655,"52,165","85,610","7,371","3,277",330,"355,000","7,593",,67612.0,22.85
Italy,"143,626","+4,204","18,279",+610,"28,470","96,877","3,605","2,375",302,"853,369","14,114",,46749.0,39.1
Germany,"118,235","+4,939","2,607",+258,"52,407","63,221","4,895","1,411",31,"1,317,887","15,730",,55014.0,4.74
France,"117,749","+4,799","12,210","+1,341","23,206","82,333","7,066","1,804",187,"333,807","5,114",,35416.0,34.48
China,"81,865",+63,"3,335",+2,"77,370","1,160",176,57,2,,,,80705.0,4.13
Iran,"66,220","+1,634","4,110",+117,"32,309","29,801","3,918",788,49,"231,393","2,755",,36419.0,11.29
UK,"65,077","+4,344","7,978",+881,135,"56,964","1,559",959,118,"298,169","4,392",,8113.0,98.34
Turkey,"42,282","+4,056",908,+96,"2,142","39,232","1,552",501,11,"276,338","3,277",,3050.0,29.77
,,,,,,,,,,,,,,
Belgium,"24,983","+1,580","2,523",+283,"5,164","17,296","1,285","2,156",218,"84,248","7,269",,7687.0,32.82
Switzerland,"24,051",+771,948,+53,"10,600","12,503",386,"2,779",110,"178,500","20,625",,11548.0,8.21
Netherlands,"21,762","+1,213","2,396",+148,250,"19,116","1,424","1,270",140,"101,534","5,926",,2646.0,90.55
Canada,"20,765","+1,327",509,+82,"5,311","14,945",518,550,13,"370,315","9,812",,5820.0,8.75
Brazil,"18,145","+1,957",954,+134,173,"17,018",296,85,4,"62,985",296,,1127.0,84.65
Portugal,"13,956",+815,409,+29,205,"13,342",241,"1,369",40,"140,368","13,766",,614.0,66.61
Austria,"13,244",+302,295,+22,"5,240","7,709",266,"1,471",33,"126,287","14,022",,5535.0,5.33
,,,,,,,,,,,,,,
S. Korea,"10,423",+39,204,+4,"6,973","3,246",55,203,4,"477,304","9,310",,7177.0,2.84
Russia,"10,131","+1,459",76,+13,698,"9,357",8,69,0.5,"1,004,719","6,885",,774.0,9.82
Israel,"9,968",+564,86,+13,"1,011","8,871",166,"1,152",10,"117,339","13,557",,1097.0,7.84
Sweden,"9,141",+722,793,+106,205,"8,143",719,905,79,"54,700","5,416",,998.0,79.46
,,,,,,,,,,,,,,
India,"6,725",+809,227,+49,635,"5,863",,5,0.2,"177,584",129,,862.0,26.33
Ireland,"6,574",+500,263,+28,25,"6,286",165,"1,331",53,"53,000","10,734",,288.0,91.32
Norway,"6,219",+177,108,+7,32,"6,079",78,"1,147",20,"121,034","22,326",,140.0,77.14
Australia,"6,152",+100,51,+1,"2,987","3,114",81,241,2,"330,134","12,946",,3038.0,1.68
