"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",,Closed Case,"Death Rate
(%)"
World,"1,852,257","+72,514","114,194","+5,415","423,311","1,314,752","50,776",238,14.7,,,,537505.0,21.25
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
USA,"560,300","+27,421","22,105","+1,528","32,634","505,561","11,766","1,693",67,"2,832,258","8,557",,54739.0,40.38
,,,,,,,,,,,,,,
Spain,"166,831","+3,804","17,209",+603,"62,391","87,231","7,371","3,568",368,"355,000","7,593",,79600.0,21.62
Italy,"156,363","+4,092","19,899",+431,"34,211","102,253","3,343","2,586",329,"1,010,193","16,708",,54110.0,36.78
France,"132,591","+2,937","14,393",+561,"27,186","91,012","6,845","2,031",221,"333,807","5,114",,41579.0,34.62
Germany,"127,854","+2,402","3,022",+151,"60,300","64,532","4,895","1,526",36,"1,317,887","15,730",,63322.0,4.77
UK,"84,279","+5,288","10,612",+737,N/A,"73,323","1,559","1,241",156,"352,974","5,200",,10956.0,96.86
China,"82,052",+99,"3,339",,"77,575","1,138",139,57,2,,,,80914.0,4.13
Iran,"71,686","+1,657","4,474",+117,"43,894","23,318","3,930",853,53,"263,388","3,136",,48368.0,9.25
Turkey,"56,956","+4,789","1,198",+97,"3,446","52,312","1,665",675,14,"376,100","4,459",,4644.0,25.8
,,,,,,,,,,,,,,
Belgium,"29,647","+1,629","3,600",+254,"6,463","19,584","1,223","2,558",311,"102,151","8,814",,10063.0,35.77
Netherlands,"25,587","+1,174","2,737",+94,250,"22,600","1,384","1,493",160,"101,534","5,926",,2987.0,91.63
Switzerland,"25,415",+308,"1,106",+70,"12,700","11,609",386,"2,937",128,"193,800","22,393",,13806.0,8.01
Canada,"24,383","+1,065",717,+64,"7,172","16,494",557,646,19,"422,200","11,186",,7889.0,9.09
Brazil,"22,192","+1,230","1,223",+83,173,"20,796",296,104,6,"62,985",296,,1396.0,87.61
Portugal,"16,585",+598,504,+34,277,"15,804",228,"1,627",49,"163,616","16,046",,781.0,64.53
Russia,"15,770","+2,186",130,+24,"1,291","14,349",8,108,0.9,"1,200,000","8,223",,1421.0,9.15
,,,,,,,,,,,,,,
Austria,"13,945",+139,350,+13,"6,987","6,608",243,"1,548",39,"144,877","16,086",,7337.0,4.77
Israel,"11,145",+402,103,+2,"1,627","9,415",183,"1,288",12,"117,339","13,557",,1730.0,5.95
S. Korea,"10,512",+32,214,+3,"7,368","2,930",55,205,4,"514,621","10,038",,7582.0,2.82
Sweden,"10,483",+332,899,+12,381,"9,203",839,"1,038",89,"54,700","5,416",,1280.0,70.23
Ireland,"9,655",+727,334,+14,25,"9,296",194,"1,955",68,"53,000","10,734",,359.0,93.04
India,"9,205",+759,331,+43,"1,080","7,794",,7,0.2,"189,111",137,,1411.0,23.46
,,,,,,,,,,,,,,
Peru,"7,519",+671,193,+12,"1,798","5,528",134,228,6,"76,506","2,320",,1991.0,9.69
Ecuador,"7,466",+209,333,+18,501,"6,632",184,423,19,"23,635","1,340",,834.0,39.93
Japan,"7,370",+622,123,+15,784,"6,463",129,58,1.0,"77,381",612,,907.0,13.56
Chile,"7,213",+286,80,+7,"2,059","5,074",387,377,4,"82,271","4,304",,2139.0,3.74
Poland,"6,674",+318,232,+24,439,"6,003",160,176,6,"138,007","3,646",,671.0,34.58
Norway,"6,525",+116,128,+9,32,"6,365",59,"1,204",24,"126,486","23,332",,160.0,80.0
Australia,"6,313",+10,59,+3,"3,338","2,916",81,248,2,"353,941","13,880",,3397.0,1.74
Romania,"6,300",+310,316,+25,852,"5,132",204,327,16,"62,328","3,240",,1168.0,27.05
Denmark,"6,174",+178,273,+13,"2,123","3,778",104,"1,066",47,"70,125","12,107",,2396.0,11.39
Czechia,"5,991",+89,138,+9,464,"5,389",87,559,13,"125,126","11,684",,602.0,22.92
Pakistan,"5,230",+219,91,+5,"1,028","4,111",37,24,0.4,"61,801",280,,1119.0,8.13
Malaysia,"4,683",+153,76,+3,"2,108","2,499",66,145,2,"77,491","2,394",,2184.0,3.48
Philippines,"4,648",+220,297,+50,197,"4,154",1,42,3,"33,814",309,,494.0,60.12
Saudi Arabia,"4,462",+429,59,+7,761,"3,642",67,128,2,"115,585","3,320",,820.0,7.2
Indonesia,"4,241",+399,373,+46,359,"3,509",,16,1,"27,075",99,,732.0,50.96
Mexico,"4,219",+375,273,+40,"1,772","2,174",89,33,2,"35,479",275,,2045.0,13.35
UAE,"4,123",+387,22,+2,680,"3,421",1,417,2,"648,195","65,538",,702.0,3.13
