"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",,Closed Case,"Death Rate
(%)"
World,"2,919,404","+90,722","203,164","+6,069","836,612","1,879,628","58,202",375,26.1,,,,1039776.0,19.54
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
USA,"960,651","+35,419","54,256","+2,065","118,162","788,233","15,110","2,902",164,"5,279,237","15,949",,172418.0,31.47
,,,,,,,,,,,,,,
Spain,"223,759","+3,995","22,902",+378,"95,708","105,149","7,705","4,786",490,"930,230","19,896",,118610.0,19.31
Italy,"195,351","+2,357","26,384",+415,"63,120","105,847","2,102","3,231",436,"1,707,743","28,245",,89504.0,29.48
France,"161,488","+1,660","22,614",+369,"44,594","94,280","4,725","2,474",346,"463,662","7,103",,67208.0,33.65
Germany,"156,513","+1,514","5,877",+117,"109,800","40,836","2,908","1,868",70,"2,072,669","24,738",,115677.0,5.08
UK,"148,377","+4,913","20,319",+813,N/A,"127,714","1,559","2,186",299,"640,792","9,439",,20663.0,98.34
,,,,,,,,,,,,,,
Turkey,"107,773","+2,861","2,706",+106,"25,582","79,485","1,782","1,278",32,"868,565","10,298",,28288.0,9.57
Iran,"89,328","+1,134","5,650",+76,"68,193","15,485","3,096","1,064",67,"410,075","4,882",,73843.0,7.65
China,"82,816",+12,"4,632",,"77,346",838,49,58,3,,,,81978.0,5.65
Russia,"74,588","+5,966",681,+66,"6,250","67,657","2,300",511,5,"2,721,500","18,649",,6931.0,9.83
Brazil,"59,196","+6,201","4,045",+375,"29,160","25,991","8,318",278,19,"291,922","1,373",,33205.0,12.18
Canada,"45,354","+1,466","2,465",+163,"16,425","26,464",557,"1,202",65,"684,271","18,130",,18890.0,13.05
Belgium,"45,325","+1,032","6,917",+238,"10,417","27,991",934,"3,911",597,"189,067","16,313",,17334.0,39.9
Netherlands,"37,190",+655,"4,409",+120,N/A,"32,531",959,"2,170",257,"193,950","11,319",,4659.0,94.63
,,,,,,,,,,,,,,
Switzerland,"28,894",+217,"1,599",+10,"21,300","5,995",204,"3,339",185,"245,300","28,343",,22899.0,6.98
India,"26,283","+1,836",825,+45,"5,939","19,519",,19,0.6,"579,957",420,,6764.0,12.2
Peru,"25,331","+3,683",700,+66,"7,797","16,834",545,768,21,"218,195","6,618",,8497.0,8.24
Portugal,"23,392",+595,880,+26,"1,277","21,235",186,"2,294",86,"330,512","32,414",,2157.0,40.8
Ecuador,"22,719",,576,,"1,366","20,777",127,"1,288",33,"56,513","3,203",,1942.0,29.66
Ireland,"18,561",+377,"1,063",+49,"9,233","8,265",142,"3,759",215,"127,319","25,785",,10296.0,10.32
Sweden,"18,177",+610,"2,192",+40,"1,005","14,980",547,"1,800",217,"94,500","9,357",,3197.0,68.56
Saudi Arabia,"16,299","+1,197",136,+9,"2,215","13,948",115,468,4,"200,000","5,745",,2351.0,5.78
Israel,"15,298",+240,199,+5,"6,435","8,664",127,"1,767",23,"302,691","34,971",,6634.0,3.0
Austria,"15,148",+77,536,+6,"12,103","2,509",148,"1,682",60,"221,098","24,549",,12639.0,4.24
Japan,"13,231",+519,360,+15,"1,656","11,215",287,105,3,"147,454","1,166",,2016.0,17.86
Mexico,"12,872","+1,239","1,221",+152,"7,149","4,502",378,100,9,"51,297",398,,8370.0,14.59
Chile,"12,858",+552,181,+7,"6,746","5,931",418,673,9,"149,212","7,806",,6927.0,2.61
Pakistan,"12,723",+783,269,+16,"2,866","9,588",111,58,1,"144,365",654,,3135.0,8.58
Singapore,"12,693",+618,12,,"1,002","11,679",24,"2,170",2,"121,774","20,815",,1014.0,1.18
Poland,"11,273",+381,524,+30,"2,126","8,623",160,298,14,"278,994","7,372",,2650.0,19.77
S. Korea,"10,718",+10,240,,"8,635","1,843",55,209,5,"595,161","11,609",,8875.0,2.7
Romania,"10,635",+218,601,+34,"2,890","7,144",235,553,31,"126,645","6,583",,3491.0,17.22
UAE,"9,813",+532,71,+7,"1,887","7,855",1,992,7,"1,022,326","103,365",,1958.0,3.63
Belarus,"9,590",+817,67,+4,"1,573","7,950",92,"1,015",7,"139,295","14,741",,1640.0,4.09
Qatar,"9,358",+833,10,,929,"8,419",72,"3,248",3,"79,705","27,665",,939.0,1.06
Indonesia,"8,607",+396,720,+31,"1,042","6,845",,31,3,"67,828",248,,1762.0,40.86
Denmark,"8,445",+235,418,+15,"5,669","2,358",70,"1,458",72,"136,738","23,607",,6087.0,6.87
,,,,,,,,,,,,,,
Ukraine,"8,125",+478,201,+8,782,"7,142",104,186,5,"83,577","1,911",,983.0,20.45
Serbia,"7,779",+296,151,+7,"1,152","6,476",91,890,17,"59,938","6,860",,1303.0,11.59
Norway,"7,493",+30,201,+2,32,"7,260",50,"1,382",37,"155,125","28,614",,233.0,86.27
Czechia,"7,352",+79,218,+4,"2,453","4,681",71,687,20,"210,705","19,676",,2671.0,8.16
Philippines,"7,294",+102,494,+17,792,"6,008",1,67,5,"81,292",742,,1286.0,38.41
Australia,"6,695",+20,80,+1,"5,372","1,243",43,263,3,"494,257","19,383",,5452.0,1.47
Dominican Republic,"5,926",+177,273,+6,822,"4,831",136,546,25,"21,284","1,962",,1095.0,24.93
Malaysia,"5,742",+51,98,+2,"3,762","1,882",36,177,3,"126,970","3,923",,3860.0,2.54
Panama,"5,338",+172,154,+8,319,"4,865",87,"1,237",36,"24,304","5,633",,473.0,32.56
Colombia,"5,142",+261,233,+8,"1,067","3,842",117,101,5,"78,078","1,534",,1300.0,17.92
Bangladesh,"4,998",+309,140,+9,113,"4,745",1,30,0.9,"43,113",262,,253.0,55.34
Finland,"4,475",+80,186,+9,"2,500","1,789",60,808,34,"77,800","14,041",,2686.0,6.92
South Africa,"4,361",+141,86,+7,"1,473","2,802",36,74,1,"161,004","2,715",,1559.0,5.52
Egypt,"4,319",+227,307,+13,"1,114","2,898",,42,3,"90,000",879,,1421.0,21.6
Morocco,"3,897",+139,159,+1,537,"3,201",1,106,4,"25,443",689,,696.0,22.84
Argentina,"3,780",+173,185,+9,"1,030","2,565",144,84,4,"47,406","1,049",,1215.0,15.23
Luxembourg,"3,711",+16,85,,"3,088",538,26,"5,928",136,"38,514","61,526",,3173.0,2.68
Moldova,"3,304",+194,94,+10,825,"2,385",212,819,23,"11,763","2,916",,919.0,10.23
Algeria,"3,256",+129,419,+4,"1,479","1,358",40,74,10,"6,500",148,,1898.0,22.08
Thailand,"2,907",+53,51,+1,"2,547",309,61,42,0.7,"142,589","2,043",,2598.0,1.96
Kuwait,"2,892",+278,19,+4,656,"2,217",58,677,4,,,,675.0,2.81
Kazakhstan,"2,601",+185,25,,646,"1,930",31,139,1,"180,502","9,613",,671.0,3.73
Bahrain,"2,588",+70,8,,"1,160","1,420",2,"1,521",5,"110,379","64,869",,1168.0,0.68
Greece,"2,506",+16,130,,577,"1,799",47,240,12,"63,087","6,053",,707.0,18.39
Hungary,"2,443",+60,262,+12,458,"1,723",61,253,27,"60,801","6,294",,720.0,36.39
Croatia,"2,016",+7,54,+3,"1,034",928,21,491,13,"30,913","7,530",,1088.0,4.96
Oman,"1,905",+115,10,,329,"1,566",3,373,2,,,,339.0,2.95
Uzbekistan,"1,862",+58,8,,707,"1,147",8,56,0.2,"210,000","6,274",,715.0,1.12
Iceland,"1,790",+1,10,,"1,570",210,4,"5,246",29,"45,971","134,716",,1580.0,0.63
Iraq,"1,763",+55,86,,"1,224",453,,44,2,"68,224","1,696",,1310.0,6.56
Armenia,"1,677",+81,28,+1,803,846,10,566,9,"17,342","5,852",,831.0,3.37
Estonia,"1,635",+30,46,,228,"1,361",6,"1,233",35,"47,331","35,680",,274.0,16.79
Azerbaijan,"1,617",+25,21,,"1,080",516,15,159,2,"120,479","11,883",,1101.0,1.91
Cameroon,"1,518",+88,53,+10,697,768,28,57,2,,,,750.0,7.07
Bosnia and Herzegovina,"1,486",+65,57,+2,592,837,4,453,17,"24,676","7,521",,649.0,8.78
Afghanistan,"1,463",+112,47,+4,188,"1,228",7,38,1,"7,425",191,,235.0,20.0
New Zealand,"1,461",+5,18,+1,"1,118",325,1,303,4,"115,015","23,851",,1136.0,1.58
Lithuania,"1,426",+16,41,+1,460,925,17,524,15,"98,948","36,347",,501.0,8.18
Slovenia,"1,388",+15,81,+1,219,"1,088",23,668,39,"48,179","23,175",,300.0,27.0
Slovakia,"1,373",+13,17,,386,970,7,251,3,"66,089","12,105",,403.0,4.22
North Macedonia,"1,367",+41,59,+2,374,934,14,656,28,"14,758","7,084",,433.0,13.63
Cuba,"1,337",+52,51,+2,437,849,11,118,5,"37,991","3,354",,488.0,10.45
Ghana,"1,279",,10,,134,"1,135",4,41,0.3,"88,188","2,838",,144.0,6.94
Bulgaria,"1,247",+59,55,+1,197,995,37,179,8,"27,000","3,886",,252.0,21.83
Nigeria,"1,182",+87,35,+3,222,925,2,6,0.2,"10,061",49,,257.0,13.62
Ivory Coast,"1,077",,14,,419,644,,41,0.5,,,,433.0,3.23
Hong Kong,"1,038",+2,4,,753,281,4,138,0.5,"145,640","19,426",,757.0,0.53
Djibouti,"1,008",+9,2,,373,633,,"1,020",2,"11,431","11,570",,375.0,0.53
Guinea,996,+42,7,+1,208,781,,76,0.5,,,,215.0,3.26
Tunisia,939,+17,38,,207,694,19,79,3,"20,408","1,727",,245.0,15.51
Cyprus,810,+6,14,,148,648,15,671,12,"43,542","36,064",,162.0,8.64
Bolivia,807,+104,44,+1,54,709,3,69,4,"4,995",428,,98.0,44.9
Latvia,804,+20,12,,267,525,6,426,6,"45,743","24,251",,279.0,4.3
Andorra,738,+7,40,,344,354,17,"9,552",518,"1,673","21,653",,384.0,10.42
,,,,,,,,,,,,,,
Albania,712,+34,27,,403,282,4,247,9,"7,015","2,438",,430.0,6.28
Diamond Princess,712,,13,,645,54,4,,,,,,658.0,1.98
Lebanon,704,+8,24,+2,143,537,44,103,4,"26,467","3,878",,167.0,14.37
Costa Rica,693,+6,6,,242,445,7,136,1,"12,467","2,447",,248.0,2.42
Niger,684,+3,27,+3,325,332,,28,1,"5,013",207,,352.0,7.67
Kyrgyzstan,665,+9,8,,345,312,11,102,1,"39,615","6,072",,353.0,2.27
Burkina Faso,629,,41,,442,146,,30,2,,,,483.0,8.49
Senegal,614,+69,7,,276,331,1,37,0.4,466,28,,283.0,2.47
Honduras,591,+29,55,+8,58,478,10,60,6,"3,457",349,,113.0,48.67
Uruguay,563,,12,,369,182,9,162,3,"15,834","4,558",,381.0,3.15
Channel Islands,525,+2,35,+1,332,158,,"3,020",201,"3,320","19,095",,367.0,9.54
San Marino,513,,40,,64,409,3,"15,119","1,179","1,929","56,851",,104.0,38.46
Georgia,456,+12,5,,139,312,6,114,1,"9,699","2,431",,144.0,3.47
Sri Lanka,452,+35,7,,118,327,2,21,0.3,"13,850",647,,125.0,5.6
Malta,448,+1,4,+1,249,195,2,"1,015",9,"27,981","63,371",,253.0,1.58
Jordan,444,+3,7,,332,105,5,44,0.7,"63,737","6,247",,339.0,2.06
Guatemala,430,+46,11,,30,389,5,24,0.6,"7,200",402,,41.0,26.83
Taiwan,429,+1,6,,275,148,,18,0.3,"59,840","2,513",,281.0,2.14
Réunion,417,+5,,,300,117,2,466,,,,,300.0,
